New experement started at 06.03.2012 2:54:02 and took 0:00:00
It was single experiment with 10 steps, with following parameters:
Initial fraction of common labour (Pivotal Dynasty) was 0,8
alpha=0,6, k=0,5, n=1000

Step; Pivotal Dynasty; Growth; Skill Premium; GDP
0; 0,5; 1,19962865337804; 3,08102189781022; 1,20851270923911
1; 0,5; 1,06450770343691; 2,77461139896373; 1,28647108868643
2; 0,315; 1,02172944788058; 2,69625; 1,31442539515792
3; 0,228; 1,04258401902028; 2,65246098439376; 1,37039891118607
4; 0,2; 0,980263064229351; 2,60384153661465; 1,34335143589582
5; 0,167; 1,01662040704988; 2,56815511163337; 1,36567848357144
6; 0,167; 1,03737517072856; 2,5916955017301; 1,41672095005524
7; 0,149; 0,963522658086271; 2,50635103926097; 1,36504273556373
8; 0,133; 1,04855776540152; 2,58047945205479; 1,43132616048028
9; 0,134; 0,96698881047057; 2,57167832167832; 1,38407638131824
10; 0,124; 0; 0; 0

Dynasty; Human Capital; Consumption; Expenditure; Wages
1; 1; 0,376363393968249; 0; 0,376363393968249
2; 1; 0,376363393968249; 0; 0,376363393968249
3; 1; 0,376363393968249; 0; 0,376363393968249
4; 1; 0,376363393968249; 0; 0,376363393968249
5; 2; 0,376363393968249; 0; 0,376363393968249
6; 2; 0,376363393968249; 0; 0,376363393968249
7; 2; 0,376363393968249; 0; 0,376363393968249
8; 1; 0,376363393968249; 0; 0,376363393968249
9; 2; 0,376363393968249; 0; 0,376363393968249
10; 1; 0,376363393968249; 0; 0,376363393968249
11; 1; 0,376363393968249; 0; 0,376363393968249
12; 2; 0,376363393968249; 0; 0,376363393968249
13; 1; 0,376363393968249; 0; 0,376363393968249
14; 1; 0,376363393968249; 0; 0,376363393968249
15; 1; 0,376363393968249; 0; 0,376363393968249
16; 1; 0,376363393968249; 0; 0,376363393968249
17; 1; 0,376363393968249; 0; 0,376363393968249
18; 1; 0,376363393968249; 0; 0,376363393968249
19; 2; 0,376363393968249; 0; 0,376363393968249
20; 2; 0,376363393968249; 0; 0,376363393968249
21; 2; 0,376363393968249; 0; 0,376363393968249
22; 1; 0,376363393968249; 0; 0,376363393968249
23; 1; 0,376363393968249; 0; 0,376363393968249
24; 2; 0,376363393968249; 0; 0,376363393968249
25; 1; 0,376363393968249; 0; 0,376363393968249
26; 2; 0,376363393968249; 0; 0,376363393968249
27; 1; 0,376363393968249; 0; 0,376363393968249
28; 1; 0,376363393968249; 0; 0,376363393968249
29; 1; 0,376363393968249; 0; 0,376363393968249
30; 1; 0,376363393968249; 0; 0,376363393968249
31; 1; 0,376363393968249; 0; 0,376363393968249
32; 1; 0,376363393968249; 0; 0,376363393968249
33; 1; 0,376363393968249; 0; 0,376363393968249
34; 1; 0,376363393968249; 0; 0,376363393968249
35; 1; 0,376363393968249; 0; 0,376363393968249
36; 1; 0,376363393968249; 0; 0,376363393968249
37; 1; 0,376363393968249; 0; 0,376363393968249
38; 1; 0,376363393968249; 0; 0,376363393968249
39; 1; 0,376363393968249; 0; 0,376363393968249
40; 1; 0,376363393968249; 0; 0,376363393968249
41; 1; 0,376363393968249; 0; 0,376363393968249
42; 1; 0,376363393968249; 0; 0,376363393968249
43; 1; 0,376363393968249; 0; 0,376363393968249
44; 1; 0,376363393968249; 0; 0,376363393968249
45; 1; 0,376363393968249; 0; 0,376363393968249
46; 1; 0,376363393968249; 0; 0,376363393968249
47; 1; 0,376363393968249; 0; 0,376363393968249
48; 1; 0,376363393968249; 0; 0,376363393968249
49; 1; 0,376363393968249; 0; 0,376363393968249
50; 1; 0,376363393968249; 0; 0,376363393968249
51; 1; 0,376363393968249; 0; 0,376363393968249
52; 1; 0,376363393968249; 0; 0,376363393968249
53; 1; 0,376363393968249; 0; 0,376363393968249
54; 1; 0,376363393968249; 0; 0,376363393968249
55; 2; 0,376363393968249; 0; 0,376363393968249
56; 1; 0,376363393968249; 0; 0,376363393968249
